month,avg_windspeed,max_windspeed,min_windspeed
January,13.748052358490567,39.0007,0.0
February,15.577716628175521,51.9987,0.0
March,15.97488410138249,40.9973,0.0
April,15.852275112107623,40.9973,0.0
May,12.427390827740492,40.9973,0.0
June,11.827618161434977,35.0008,0.0
July,12.015845657015591,56.9969,0.0
August,12.411122347629796,43.0006,0.0
September,11.564080089485458,40.9973,0.0
October,10.892052370203162,36.9974,0.0
November,12.142271171171172,36.9974,0.0
December,10.836459550561798,43.0006,0.0
